id,title,thumbnailUrl,publishedAt,type,source
QZDZpzfR6rs,"Weekly Bible Study Series:  1 Peter (Day 4)",https://i2.ytimg.com/vi/QZDZpzfR6rs/hqdefault.jpg,2025-09-03T08:49:18+00:00,sermon,playlist
4hsjMx_fIuM,"Weekly Bible Study Series:  1 Peter (Day 3)",https://i1.ytimg.com/vi/4hsjMx_fIuM/hqdefault.jpg,2025-09-03T08:43:06+00:00,sermon,playlist
YnkmoBCsytY,"EECFIN  -- Aug 31, 2025 Sunday Service Live",https://i2.ytimg.com/vi/YnkmoBCsytY/hqdefault.jpg,2025-09-01T04:11:34+00:00,live,channel
nM4rx1o_jXw,"EECFIN --  Aug 24, 2025 - Sunday Service: Focus On Jesus Concert Day 2",https://i3.ytimg.com/vi/nM4rx1o_jXw/hqdefault.jpg,2025-08-25T05:32:39+00:00,live,channel
mJH8zIIZfyg,"EECFIN --  Aug 17, 2025 - Sunday Service",https://i2.ytimg.com/vi/mJH8zIIZfyg/hqdefault.jpg,2025-08-18T03:55:20+00:00,live,channel
h6Eg-MdykWA,"EECFIN --  Aug 10, 2025 - Sunday Service",https://i1.ytimg.com/vi/h6Eg-MdykWA/hqdefault.jpg,2025-08-11T04:39:50+00:00,live,channel
WX_Awa_TW3k,"EECFIN --  Aug 10, 2025 - Sunday Service",https://i4.ytimg.com/vi/WX_Awa_TW3k/hqdefault.jpg,2025-08-10T13:26:52+00:00,live,channel
sFVwUpEkZBU,"EECFIN --  Aug 3, 2025 - Sunday Service (2)",https://i4.ytimg.com/vi/sFVwUpEkZBU/hqdefault.jpg,2025-08-04T05:00:50+00:00,live,channel
c86QmY-R-v8,"EECFIN --  Aug 3, 2025 - Sunday Service",https://i4.ytimg.com/vi/c86QmY-R-v8/hqdefault.jpg,2025-08-04T04:14:11+00:00,live,channel
X7OaNg54EUQ,"EECFIN --  July 20, 2025 - Sunday Service",https://i1.ytimg.com/vi/X7OaNg54EUQ/hqdefault.jpg,2025-07-28T06:50:37+00:00,live,channel
iR8wqzoCvR8,"EECFIN --  July 20, 2025 - Sunday Service",https://i2.ytimg.com/vi/iR8wqzoCvR8/hqdefault.jpg,2025-07-21T06:14:08+00:00,live,channel
lxRQuufm0FY,"EECFIN --  July 20, 2025 - Sunday Service",https://i1.ytimg.com/vi/lxRQuufm0FY/hqdefault.jpg,2025-07-14T05:54:38+00:00,live,channel
h53_wPuJPxc,"EECFIN --  July 6, 2025 - Sunday Service",https://i1.ytimg.com/vi/h53_wPuJPxc/hqdefault.jpg,2025-07-06T18:03:32+00:00,live,channel
izfVnlQCi-U,"እየሱስ ትንሳኤና ህይወት",https://i2.ytimg.com/vi/izfVnlQCi-U/hqdefault.jpg,2025-04-20T00:27:54+00:00,sermon,playlist
lUSC6PDFgxo,"ወንድም ናሆም",https://i1.ytimg.com/vi/lUSC6PDFgxo/hqdefault.jpg,2025-04-04T22:28:45+00:00,sermon,playlist
5e7dqd1xOn4,"የመኖራችን ምክንያት በፓውሎስ አስተያየት - በወንድም ሞገስ",https://i2.ytimg.com/vi/5e7dqd1xOn4/hqdefault.jpg,2025-04-04T20:02:41+00:00,sermon,playlist
F9rrcQSebiA,"እግዚአብሄር ፍርስርስ ያለውን ነገር እንደገና ይስራል - pastor Dawit - part 2",https://i3.ytimg.com/vi/F9rrcQSebiA/hqdefault.jpg,2025-03-09T15:26:27+00:00,sermon,playlist
LguW9wA7U2s,"ተግዳሮትን ማለፍ  -  kelly Aschalew",https://i1.ytimg.com/vi/LguW9wA7U2s/hqdefault.jpg,2024-05-21T15:32:12+00:00,sermon,playlist
5-RaAiGbeyU,"የኢየሱስ የመጨረሻ ሰአት ቃሎች - Pastor Alemayehu Preaching",https://i2.ytimg.com/vi/5-RaAiGbeyU/hqdefault.jpg,2024-04-01T17:02:14+00:00,sermon,playlist
